Município,Codigo_IBGE,Gentílico,Prefeito,Área Territorial,População Estimada,Densidade Demográfica,Escolarização 6 a 14 anos,IDHM,Mortalidade Infantil,Receitas Realizadas,Despesas empenhadas,PIB per capita
CÁSSIA,3115102,cassiense,RÊMULO CARVALHO PINTO,665.802,17741,26.15,97,704,4.72,4533829643,4212857261,1837670
CONCEIÇÃO DA BARRA DE MINAS,3115201,conceicionense,HEITOR SEBASTIAO GUEDES,273.014,3939,14.48,93.6,685,-,1408971803,1302721476,1158068
CATAGUASES,3115300,cataguasense,JOSÉ INÁCIO PEIXOTO PARREIRAS HENRIQUES,491.767,75942,141.85,98.1,751,13.35,13726191287,12631293323,2063190
CATAS ALTAS,3115359,catas-altense,SAULO MORAIS DE CASTRO,240.042,5465,20.19,98.6,684,-,3786365114,2766143687,7877867
CATAS ALTAS DA NORUEGA,3115409,catas-altense,PAULO LADISLAU BATISTA,141.622,3665,24.45,98.4,600,-,2299921007,1194582335,965063
CATUJI,3115458,catujiense,MARIA JOSE DE OLIVEIRA,419.380,6206,15.99,95.7,540,45.45,2048844086,2046726328,941620
CATUTI,3115474,catutiense,DELERMANDO DO NASCIMENTO FRANÇA,287.812,4944,17.73,98.3,621,20,1694758725,1438327199,798434
CAXAMBU,3115508,caxambuense,DIOGO CURI HAUEGEN,100.483,21566,216.01,99,743,-,5549807209,4747109991,1551240
CEDRO DO ABAETÉ,3115607,cedrense,LUIZ ANTONIO DE SOUSA,283.211,1150,4.27,100,678,-,1233017095,989268289,1547192
CENTRAL DE MINAS,3115706,centralense,GILBERTO FERREIRA DA CUNHA,204.328,7059,33.14,97.7,665,-,1908127669,1775655162,1048735
CENTRALINA,3115805,centralinense,OSCAR LUIS FELDNER DE BARROS ARAUJO CUNHA,322.385,10343,31.38,96,678,-,284536223,2403860861,2410553
CHÁCARA,3115904,chacarense,JUCELIO FERNANDES DE OLIVEIRA,152.807,3216,18.27,97.6,664,74.07,1377715739,1176262038,1189254
CHALÉ,3116001,chaleense,CARLOS RODRIGUES DA SILVA,212.674,5695,26.54,98.1,655,-,1578341264,1407509411,1319100
CHAPADA DO NORTE,3116100,chapadense,LEANDRO EVANGELISTA DO SOCORRO,830.833,15334,18.28,97.6,598,-,2874464952,2549834578,632615
CHAPADA GAÚCHA,3116159,chapadense,JAIR MONTAGNER,3.255.189,14217,3.32,97.8,635,-,3676073634,3229300862,1484512
CHIADOR,3116209,chiadorense,ITIBERÊ RODRIGUES DOS SANTOS,252.852,2657,11.01,100,711,-,16011714,1383412056,1144218
CIPOTÂNEA,3116308,cipotanense,ROBERTO HENRIQUES DE OLIVEIRA,153.479,6811,42.66,94.5,579,18.87,1467434553,1232127639,738009
